date,n_stocks,avg_sdl,avg_mom,avg_rev
2026-03-06,186,0.0,-0.016883748185225193,-0.0019207339846537832
2026-03-09,186,3.372451660823728e-17,-0.01941882723688531,0.010075206320328076
2026-03-10,186,2.7457128565998495e-17,-0.022032307514623147,0.016653840402629145
2026-03-11,186,1.910061117634678e-17,-0.005112109824023014,0.0016544382772453944
2026-03-12,188,-2.362176648138631e-17,-0.005445295676586004,-0.0022851791731928065
2026-03-13,187,1.4248851652943187e-17,0.027860290285455207,-6.77295107698121e-05
2026-03-16,187,3.7996937741181826e-17,0.0345848131152399,-0.0152114245846655
2026-03-17,187,-1.0686638739707389e-17,0.023708912686910204,-0.025412032986557313
2026-03-18,187,4.7496172176477284e-17,0.027513495077284893,-0.012850371104659638
2026-03-19,186,-0.007091976663839176,0.028851011306281316,-0.022245043902431205
2026-03-20,186,-0.019469223122834597,0.02706054894990753,-0.01995010670995276
2026-03-23,187,-4.2746554958829555e-17,0.010617602219828536,-0.006407441363182727
2026-03-24,186,-1.1340987885955901e-17,0.02140670675673608,-0.009371009037231894
2026-03-25,186,9.55030558817339e-18,0.02230445035996173,6.842265711270941e-05
2026-03-26,187,-3.7996937741181826e-17,0.040702032424806106,-0.014517821492081969
2026-03-27,187,0.0,0.05152350146486445,-0.028426600513265912
2026-03-30,187,-2.8497703305886374e-17,0.04582103059935393,-0.03372161403104656
2026-03-31,187,9.499234435295456e-18,0.05118972678778847,-0.03241894177652706
2026-04-01,187,1.6623660261767048e-17,0.055197821328290764,-0.042775307602194
2026-04-02,187,9.499234435295456e-18,0.08228718881411225,-0.03946369027969269
2026-04-03,187,1.0092936587501423e-17,0.06460610469631031,-0.012961422179194066
2026-04-07,187,1.8998468870590913e-17,0.07157091622684102,-0.013467491094215522
2026-04-08,188,-4.724353296277262e-18,0.08007165758553057,-0.009774822117459309
2026-04-09,188,-4.724353296277262e-17,0.05581060167945467,0.000857939865394015
2026-04-10,188,9.448706592554524e-18,0.06653152040998388,0.010084598832528201
2026-04-13,188,4.724353296277262e-18,0.057144085701705524,0.005355028142270293
2026-04-14,188,-9.448706592554524e-18,0.050487070144853534,0.0029416685440272726
2026-04-15,188,1.8897413185109047e-17,0.057861711228910456,-0.0045613254821065645
2026-04-16,188,-8.562890349502537e-18,0.05784689839725052,-0.013700579207178185
2026-04-17,188,2.834611977766357e-17,0.052837181961211184,-0.008457373463004968
2026-04-20,188,3.7794826370218094e-17,0.04464274363989063,-0.007708611254011523
2026-04-21,188,1.7716324861039733e-17,0.053283131857255965,-0.007344561345795572
2026-04-22,188,-3.5432649722079466e-17,0.05295272510538081,-0.004249802174467473
2026-04-23,188,2.1259589833247678e-17,0.04289106617566753,0.01336060637986925
2025-10-24,188,-2.362176648138631e-17,-4.3937163363717156e-05,0.03445953535627751
2025-10-27,188,-1.8897413185109047e-17,0.001697653870872595,0.013765531731512815
2025-10-28,188,-9.448706592554524e-18,0.010353318593629753,0.005585810146614735
2025-10-29,188,-3.7794826370218094e-17,0.0007149305374271526,0.015369250932388218
2025-10-30,187,2.1373277479414777e-17,-0.008901673940488884,0.006184227798443043
2025-10-31,187,2.8497703305886374e-17,-0.006092592779503447,-0.031378458199052335
2025-09-26,187,0.0,0.004408565824077361,-0.016264527406190898
2025-09-29,187,9.499234435295456e-18,0.0040752614833961705,-0.005988171065014481
2025-09-30,187,-2.1373277479414777e-17,0.009730621867385913,-0.017244976407457868
2025-10-09,187,3.0872511914710235e-17,0.0002458393714332985,-0.007495174075264274
2025-10-10,188,-2.834611977766357e-17,0.009714102480755504,-0.00456544457602974
2025-10-13,187,-2.8497703305886374e-17,0.018660756644854046,-0.008903465635526025
2025-10-14,187,-2.256068178382671e-17,0.020751927753657397,-0.013757984971902039
2025-10-15,187,-1.4248851652943187e-17,0.016091896666756002,-0.011631291783490682
2025-10-16,187,3.3247320523534097e-17,0.014780322968348485,-0.027356267645848625
2025-10-17,187,-6.649464104706819e-17,-7.28666622768252e-05,0.0024501256738312226
2025-10-20,187,-1.4248851652943187e-17,-0.006083962409304478,0.019790041011370822
2025-10-21,187,-4.749617217647728e-18,-0.00020258026543294868,0.01541053200829354
2025-10-22,187,9.499234435295456e-18,0.0055577653294657525,0.00982544971393413
2025-10-23,187,2.374808608823864e-18,0.010293983856219711,0.01776260812441645
2025-09-03,187,9.499234435295456e-18,0.04437573436623531,-0.00987446299730934
2025-09-04,188,0.0,0.03398130044734062,-0.02745525874007561
2025-09-05,188,-4.724353296277262e-18,0.02571961488422213,-0.0197305696547218
2025-09-08,188,-9.448706592554524e-18,0.0250964236816825,-0.0040798441315210415
2025-09-09,188,1.4173059888831785e-17,0.024451905520189592,-0.0084179743080315
2025-09-10,188,-2.362176648138631e-18,-0.004276876559450849,0.014922163410632676
2025-09-11,188,7.677074106450551e-18,-0.0024970045679196117,0.018202837618866933
2025-09-12,188,1.1810883240693155e-17,-0.017004894297744853,0.03394225991569964
2025-09-15,188,4.724353296277262e-18,-0.026744905087022257,0.03317211192046132
2025-09-16,188,-5.669223955532714e-17,-0.04491247439429266,0.06325872484606623
2025-09-17,188,-2.4802854805455624e-17,-0.0435330527622068,0.0370425179352681
2025-09-18,188,-5.669223955532714e-17,-0.03967207003804654,0.0297382773617778
2025-09-19,188,-1.8897413185109047e-17,-0.056895505649546665,0.028016565535606424
2025-09-22,188,-9.448706592554524e-18,-0.051199177224582566,0.013540649323244707
2025-09-23,188,9.448706592554524e-18,-0.056757961158229724,-0.01686326730509407
2025-09-24,188,-7.086529944415892e-18,-0.05588878234925538,0.0127383848462458
2025-09-25,188,-8.562890349502537e-18,-0.03024177477384096,0.008241046334076654
2025-08-13,188,-3.7794826370218094e-17,-0.04757702784474571,0.0034142671540658433
2025-08-14,188,0.0,-0.06449487872907797,0.02207391007404735
2025-08-15,188,-1.4173059888831785e-17,-0.0545520375932883,0.0153345052278806
2025-08-18,188,0.0,-0.03425120743203142,-0.03328328598155774
